"","duty_station1","lon","lat"
"193","Oklahoma City OK USA",-97.5164276,35.4675602
"194","Omaha NE USA",-95.9979883,41.2523634
"195","OR USA",-120.5542012,43.8041334
"196","Orlando FL USA",-81.3792365,28.5383355
"197","Owensboro KY USA",-87.1111676,37.7719074
"198","Oxford MS USA",-89.5192484,34.3664951
"199","PA USA",-77.1945247,41.2033216
"200","Pensacola FL USA",-87.2169149,30.421309
"201","Peoria IL USA",-89.5889864,40.6936488
"202","Philadelphia PA USA",-75.1652215,39.9525839
"203","Phoenix AZ USA",-112.0740373,33.4483771
"204","Pierre SD USA",-100.3509665,44.3683156
"205","Pittsburgh PA USA",-79.9958864,40.4406248
"206","Plano TX USA",-96.6988856,33.0198431
"207","Pocatello ID USA",-112.4455344,42.8713032
"208","Port Huron MI USA",-82.4249142,42.9708634
"209","Portland ME USA",-70.2553259,43.661471
"210","Portland OR USA",-122.6764815,45.5230622
"211","PR USA",-66.590149,18.220833
"212","Providence RI USA",-71.4128343,41.8239891
"213","Raleigh NC USA",-78.6381787,35.7795897
"214","Rapid City SD USA",-103.2310149,44.0805434
"215","Reading PA USA",-75.9268747,40.3356483
"216","Reno NV USA",-119.8138027,39.5296329
"217","RI USA",-71.4774291,41.5800945
"218","Richland WA USA",-119.2844621,46.2856907
"219","Richmond VA USA",-77.4360481,37.5407246
"220","Riverside CA USA",-117.3961564,33.9533487
"221","Roanoke VA USA",-79.9414266,37.2709704
"222","Rochester NY USA",-77.6109219,43.16103
"223","Rock Island IL USA",-90.5787476,41.5094771
"224","Rockford IL USA",-89.0939952,42.2711311
"225","Rome GA USA",-85.1646726,34.257038
"226","Rutland VT USA",-72.9726065,43.6106237
"227","Sacramento CA USA",-121.4943996,38.5815719
"228","Saint Paul MN USA",-93.0899578,44.9537029
"229","Salt Lake City UT USA",-111.8910474,40.7607793
"230","San Antonio D.C. USA",-76.99079,38.9375843
"231","San Antonio TX USA",-98.4936282,29.4241219
"232","San Diego CA USA",-117.1610838,32.715738
"233","San Francisco CA USA",-122.4194155,37.7749295
"234","San Jose CA USA",-121.8863286,37.3382082
"235","San Juan PR USA",-66.1057355,18.4655394
"236","Santa Ana CA USA",-117.867653,33.7454725
"237","Savannah GA USA",-81.0998342,32.0835407
"238","SC USA",-81.1637245,33.836081
"239","Scranton PA USA",-75.6624122,41.408969
"240","Seattle WA USA",-122.3320708,47.6062095
"241","Sherman TX USA",-96.6088805,33.6356618
"242","Shreveport LA USA",-93.7501789,32.5251516
"243","Sioux City IA USA",-96.4003069,42.4999942
"244","Sioux Falls SD USA",-96.7311034,43.5445959
"245","South Bend IN USA",-86.2519898,41.6763545
"246","Spartanburg SC USA",-81.9320482,34.9495672
"247","Spokane WA USA",-117.4260465,47.6587802
"248","Springfield IL USA",-89.6501481,39.7817213
"249","Springfield MA USA",-72.589811,42.1014831
"250","Springfield MO USA",-93.2922989,37.2089572
"251","St. Louis MO USA",-90.1994042,38.6270025
"252","Syracuse NY USA",-76.1474244,43.0481221
"253","Tacoma WA USA",-122.4442906,47.2528768
"254","Tallahassee FL USA",-84.2807329,30.4382559
"255","Tampa FL USA",-82.4571776,27.950575
"256","Texarkana TX USA",-94.0476882,33.425125
"257","TN USA",-86.5804473,35.5174913
"258","Toledo OH USA",-83.555212,41.6639383
"259","Topeka KS USA",-95.6890185,39.0558235
"260","Trenton NJ USA",-74.7429384,40.2170534
"261","Tucson AZ USA",-110.926479,32.2217429
"262","Tulsa OK USA",-95.992775,36.1539816
"263","Tuscaloosa AL USA",-87.5691735,33.2098407
"264","TX USA",-99.9018131,31.9685988
"265","Urbana IL USA",-88.2072697,40.1105875
"266","UT USA",-111.0937311,39.3209801
"267","Utica NY USA",-75.232664,43.100903
"268","VA USA",-78.6568942,37.4315734
"269","Victoria TX USA",-97.0035982,28.8052674
"270","WA USA",-120.7401385,47.7510741
"271","Washington D.C. D.C. USA",-77.0368707,38.9071923
"272","West Palm Beach FL USA",-80.0533746,26.7153424
"273","Wheeling WV USA",-80.7209149,40.0639616
"274","White Plains NY USA",-73.7629097,41.0339862
"275","WI USA",-88.7878678,43.7844397
"276","Wichita KS USA",-97.330053,37.6871761
"277","Wilkes-Barre PA USA",-75.8813075,41.2459149
"278","Williamsport PA USA",-77.0010786,41.2411897
"279","Wilmington DE USA",-75.5397878,39.7390721
"280","Wilmington NC USA",-77.9447102,34.2257255
"281","Winston-Salem NC USA",-80.244216,36.0998596
"282","Worcester MA USA",-71.8022934,42.2625932
"283","WV USA",-80.4549026,38.5976262
"284","Yakima WA USA",-120.5058987,46.6020711
"285","Youngstown OH USA",-80.6495194,41.0997803
"158","Medford Oregon USA",-122.8755949,42.3265152
