"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","ABA_Rating","President","Congress"
"1/24/90","Stahl, Norman H.","USDC: District of New Hampshire","WQ","H.W. Bush",101
"2/20/90","Alito, Samuel A. Jr. (NJ)","Third Circuit","WQ","H.W. Bush",101
"2/20/90","McNamee, Stephen M.","USDC: District of Arizona","Q","H.W. Bush",101
"2/20/90","Cleland, Robert H.","USDC: Eastern District of Michigan","Q","H.W. Bush",101
"2/20/90","Mullen, Graham C.","USDC: Western District of North Carolina","WQ","H.W. Bush",101
"2/20/90","Jones, Robert E.","USDC: District of Oregon","WQ","H.W. Bush",101
"","","","","H.W. Bush",101
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",101
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",101
"2/26/90","Shanstrom, Jack D.","USDC: District of Montana","WQ","H.W. Bush",101
"3/6/90","Wilson, Samuel G.","USDC: Western District of Virginia","Q","H.W. Bush",101
"3/6/90","Hornby, D. Brock","USDC: District of Maine","WQ","H.W. Bush",101
"3/8/90","Dudley, Adriane J.","USDC: District of the Virgin Islands","WQ","H.W. Bush",101
"3/22/90","Birch, Stanley F. Jr. (GA)","Eleventh Circuit","Q","H.W. Bush",101
"3/30/90","Vollmer, Richard W. Jr.","USDC: Southern District of Alabama","Qsm/NQmin","H.W. Bush",101
"4/18/90","Suhrheinrich, Richard F. (MI)","Sixth Circuit","Qsm/NQmin","H.W. Bush",101
"4/18/90","Norton, David C.","USDC: District of South Carolina","WQ","H.W. Bush",101
"4/26/90","Ryskamp, Kenneth L. (FL)","Eleventh Circuit","WQsm/Qmin","H.W. Bush",101
"5/8/90","Henderson, Karen LeCraft (SC)","DC Circuit","WQ","H.W. Bush",101
"5/8/90","Randolph, A. Raymond (MD)","DC Circuit","Qsm/WQmin","H.W. Bush",101
"5/11/90","Niemeyer, Paul V. (MD)","Fourth Circuit","WQ","H.W. Bush",101
"5/11/90","McBryde, John M.","USDC: Northern District of Texas","WQ","H.W. Bush",101
"5/11/90","Pickering, Charles W.","USDC: Southern District of Mississippi","Q","H.W. Bush",101
"5/11/90","Stamp, Frederick P. Jr.","USDC: Northern District of West Virginia","WQ","H.W. Bush",101
"5/18/90","Boudin, Michael","USDC: District of the District of Columbia","WQ","H.W. Bush",101
"5/21/90","Amon, Carol Bagley","USDC: Eastern District of New York","WQ","H.W. Bush",101
"6/5/90","Moreno, Fred","USDC: Southern District of Florida","Q","H.W. Bush",101
"6/7/90","Dubina, Joel F. (AL)","Eleventh Circuit","WQ","H.W. Bush",101
"6/12/90","Rader, Randall R. (VA)","Federal Circuit","Q","H.W. Bush",101
"6/12/90","Skretny, William M.","USDC: Western District of New York","Qsm/NQmin","H.W. Bush",101
"6/21/90","Parker, Fred I.","USDC: District of Vermont","WQ","H.W. Bush",101
"7/10/90","McLaughlin, Joseph M. (NY)","Second Circuit","WQ","H.W. Bush",101
"7/19/90","Nelson, Thomas G. (ID)","Ninth Circuit","WQsm/Qmin","H.W. Bush",101
"7/25/90","Souter, David H. (NH)","Supreme Court","WQ","H.W. Bush",101
"8/3/90","Shubb, William B.","USDC: Eastern District of California","WQ","H.W. Bush",101
"8/3/90","Taylor, Gary L.","USDC: Central District of California","WQ","H.W. Bush",101
"","","","","H.W. Bush",101
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",101
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",101
"8/3/90","Ware, James","USDC: Northern District of California","WQ","H.W. Bush",101
"8/3/90","Hamilton, Jean C.","USDC: Eastern District of Missouri","WQ","H.W. Bush",101
"8/3/90","Levi, David F.","USDC: Eastern District of California","Qm/WQmin","H.W. Bush",101
"8/3/90","Kent, Samuel B.","USDC: Southern District of Texas","WQ","H.W. Bush",101
"9/11/90","Loken, James B. (MN)","Eighth Circuit","WQm/Qmin","H.W. Bush",101
"9/24/90","Wanger, Oliver W.","USDC: Eastern District of California","WQ","H.W. Bush",101
"10/15/90","McGregor, James R.","USDC: Western District of Pennsylvania","Q","H.W. Bush",101
"10/17/90","Shedd, Dennis W.","USDC: District of South Carolina","Qsm/NQmin","H.W. Bush",101
"","","","","H.W. Bush",102
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",102
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",102
"1/10/91","Wanger, Oliver W.","USDC: Eastern District of California","WQ","H.W. Bush",102
"1/10/91","Ryskamp, Kenneth L.","Eleventh Circuit","WQ/Q","H.W. Bush",102
"1/10/91","McGregor, James R.","USDC: Western District of Pennsylvania","Q","H.W. Bush",102
"1/10/91","Goldberg, Richard W.","Court of International Trade","Q","H.W. Bush",102
"2/7/91","Cauthron, Robin J.","USDC: Western District of Oklahoma","WQ","H.W. Bush",102
"3/11/91","Albritton, William H. III","USDC: Middle District of Alabama","WQ","H.W. Bush",102
"3/12/91","Huff, Marilyn L.","USDC: Southern District of California","WQ","H.W. Bush",102
"3/21/91","Nielsen, William F.","USDC: Eastern District of Washington","Qsm/NQmin","H.W. Bush",102
"3/21/91","Van Sickle, Frederick","USDC: Eastern District of Washington","Q","H.W. Bush",102
"4/9/91","Freeh, Louis J.","USDC: Southern District of New York","WQsm/Qmin","H.W. Bush",102
"4/9/91","Herlong, Henry M.","USDC: District of South Carolina","WQ","H.W. Bush",102
"4/11/91","Emilio M. Garza (TX)","Fifth Circuit","Q","H.W. Bush",102
"4/11/91","Blackburn, Sharon Lovelace","USDC: Northern District of Alabama","Q","H.W. Bush",102
"4/11/91","Haik, Richard T.","USDC: Western District of Louisiana","Q","H.W. Bush",102
"4/23/91","Luttig, J. Michael","Fourth Circuit","Qsm/NQmin","H.W. Bush",102
"4/25/91","Armstrong, Sandra B.","USDC: Northern District of California","Q","H.W. Bush",102
"4/25/91","Lewis, Timothy K.","USDC: Western District of Pennsylvania","WQsm/Qmin","H.W. Bush",102
"","","","","H.W. Bush",102
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",102
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",102
"4/25/91","Osteen, William L. Sr.","USDC: Middle District of North Carolina","WQ","H.W. Bush",102
"5/15/91","Legg, Benson E.","USDC: District of Maryland","WQ","H.W. Bush",102
"5/15/91","Bartle, Harvey III","USDC: Eastern District of Pennsylvania","WQ","H.W. Bush",102
"5/16/91","Roth, Jane R. (DE)","Third Circuit","WQsm/Qmin","H.W. Bush",102
"5/16/91","Benson, Dee","USDC: District of Utah","WQ","H.W. Bush",102
"5/16/91","Gaitan, Fernando J. Jr.","USDC: Western District of Missouri","WQ","H.W. Bush",102
"5/17/91","Johnson, Sterling Jr.","USDC: Eastern District of New York","Q","H.W. Bush",102
"5/23/91","Kleinfeld, Andrew J. (AL)","Ninth Circuit","Qm/NQmin","H.W. Bush",102
"5/23/91","Schlesinger, Harvey E.","USDC: Middle District of Florida","WQ","H.W. Bush",102
"5/23/91","Nimmons, Ralph W. Jr.","USDC: Middle District of Florida","WQ","H.W. Bush",102
"6/12/91","Batchelder, Alice M. (OH)","Sixth Circuit","Q","H.W. Bush",102
"5/23/91","Hamilton, Clyde H. (SC)","Fourth Circuit","WQ","H.W. Bush",102
"6/14/91","Bassler, William G.","USDC: District of New Jersey","Q","H.W. Bush",102
"6/14/91","Brody, Morton A.","USDC: District of Maine","WQ","H.W. Bush",102
"6/14/91","Yohn, William H. Jr.","USDC: Eastern District of Pennsylvania","WQ","H.W. Bush",102
"6/17/91","Graham, Donald L.","USDC: Southern District of Florida","Q","H.W. Bush",102
"6/19/91","Solis, Jorge A.","USDC: Northern District of Texas","Q","H.W. Bush",102
"6/19/91","Siler, Eugene E. Jr.","Sixth Circuit","WQ","H.W. Bush",102
"6/27/91","Doherty, Rebecca F.","USDC: Western District of Louisiana","Qsm/NQmin","H.W. Bush",102
"6/27/91","Hogan, Michael R.","USDC: District of Oregon","WQ","H.W. Bush",102
"6/27/91","Trimble, James T. Jr.","USDC: Western District of Louisiana","WQ","H.W. Bush",102
"6/27/91","Highsmith, Shelby","USDC: Southern District of Florida","WQ","H.W. Bush",102
"6/27/91","Hurley, Denis R.","USDC: Eastern District of New York","Q","H.W. Bush",102
"6/27/91","Matia, Paul R.","USDC: Northern District of Ohio","Q","H.W. Bush",102
"6/27/91","DeMoss, Harold R. Jr. (TX)","Fifth Circuit","Q","H.W. Bush",102
"6/27/91","Caulfield, Barbara A.","USDC: Northern District of California","WQ","H.W. Bush",102
"","","","Qsm/NQmin","H.W. Bush",102
"7/8/91","Thomas, Clarence","Supreme Court","(1 recusal)","H.W. Bush",102
"","","","","H.W. Bush",102
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",102
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",102
"7/24/91","Collier, Lacey A.","USDC: Northern District of Florida","WQ","H.W. Bush",102
"7/24/91","Conway, Anne C.","USDC: Middle District of Florida","Q","H.W. Bush",102
"7/24/91","Andersen, Wayne R.","USDC: Northern District of Illinois","Q","H.W. Bush",102
"7/24/91","Longstaff, Ronald E.","USDC: Southern District of Iowa","WQ","H.W. Bush",102
"7/24/91","Lungstrum, John W.","USDC: District of Kansas","WQ","H.W. Bush",102
"7/24/91","Dalzell, Stewart R.","USDC: Eastern District of Pennsylvania","WQ","H.W. Bush",102
"7/24/91","Means, Terry R.","USDC: Northern District of Texas","Q","H.W. Bush",102
"7/25/91","Kavanagh, E. Michael","USDC: Northern District of New York","WQsm/Qmin","H.W. Bush",102
"7/26/91","Waldman, Jay C. (PA)","Third Circuit","WQ","H.W. Bush",102
"7/26/91","Sholts, Thomas E.","USDC: Southern District of Flordia","Qsm/NQmin","H.W. Bush",102
"7/26/91","Belot, Monti L.","USDC: District of Kansas","WQ","H.W. Bush",102
"7/26/91","Parell, Mary L.","USDC: District of New Jersey","Q","H.W. Bush",102
"7/26/91","Beckwirth, Sandra S.","USDC: Southern District of Ohio","Qsm/NQmin","H.W. Bush",102
"7/26/91","Bramlette, David C.","USDC: Southern District of Mississippi","Q","H.W. Bush",102
"7/26/91","Whyte, Ronald M.","USDC: Northern District of California","WQ","H.W. Bush",102
"7/30/91","Hansen, David R.","Eighth Circuit","WQ","H.W. Bush",102
"8/1/91","Reinhard, Philip G.","USDC: Northern District of Illinois","WQ","H.W. Bush",102
"8/1/91","McCalla, Jon P.","USDC: Western District of Tennessee","WQsm/Qmin","H.W. Bush",102
"8/1/91","Burrell, Garland E. Jr.","USDC: Eastern District of California","Qsm/NQmin","H.W. Bush",102
"8/1/91","Carnes, Julie E.","USDC: Northern District of Georgia","Qsm/NQmin","H.W. Bush",102
"8/1/91","Faber, David A.","USDC: Southern District of West Virginia","Q","H.W. Bush",102
"9/11/91","Van Antwerpen, Franklin S.","Third Circuit","WQ","H.W. Bush",102
"9/11/91","Edmunds, Nancy G.","USDC: Eastern District of Michigan","WQ","H.W. Bush",102
"9/11/91","McDade, Joe B.","USDC: Central District of Illinois","WQ","H.W. Bush",102
"9/11/91","McKeague, David W.","USDC: Western District of Michigan","Qsm/NQmin","H.W. Bush",102
"9/12/91","Scullin, Frederick J. Jr.","USDC: Northern District of New York","Q","H.W. Bush",102
"9/23/91","Merryday, Steven D.","USDC: Middle District of Florida","Qsm/NQmin","H.W. Bush",102
"","","","","H.W. Bush",102
"DATE","","COURT TO WHICH","","H.W. Bush",102
"NOMINATED","","NOMINATED","","H.W. Bush",102
"9/23/91","Roll, John M.","USDC: District of Arizona","Q","H.W. Bush",102
"10/1/91","Clement, Edith Brown","USDC: Eastern District of Louisiana","Q","H.W. Bush",102
"10/1/91","Robinson, Sue L.","USDC: District of Deleware","WQ","H.W. Bush",102
"10/1/91","Sparks, Sam","USDC: Western District of Texas","WQ","H.W. Bush",102
"10/4/91","Moore, Michael","USDC: Southern District of Florida","Q","H.W. Bush",102
"10/22/91","BeVier, Lillian R.","Fourth Circuit","WQsm/Qmin","H.W. Bush",102
"10/22/91","Boyle, Terrence W.","Fourth Circuit","Q","H.W. Bush",102
"10/22/91","Echols, Robert L.","USDC: Middle District of Tennessee","WQ","H.W. Bush",102
"10/22/91","Moore, Thomas K.","USDC: District Court of the Virgin Islands","Q","H.W. Bush",102
"10/22/91","Morgan, Henry C. Jr.","USDC: Eastern District of Virginia","Q","H.W. Bush",102
"11/5/91","Hendren, Jimm Larry","USDC: Western District of Arkansas","Q","H.W. Bush",102
"11/5/91","Joyner, J. Curtis","USDC: Eastern District of Pennsylvania","WQ","H.W. Bush",102
"11/5/91","McKelvie, Roderick R.","USDC: District of Delaware","WQ","H.W. Bush",102
"11/5/91","Padova, John R.","USDC: Eastern District of Pennsylvania","WQ","H.W. Bush",102
"11/6/91","Arnold, Morris S.","Eighth Circuit","WQsm/Qmin","H.W. Bush",102
"11/12/91","O’Rourke, Andrew P.","USDC: Southern District of New York","Qsm/NQmin","H.W. Bush",102
"11/14/91","Keating, Francis A.","Tenth Circuit","WQsm/Qmin","H.W. Bush",102
"11/14/91","DeMent, Ira","USDC: Middle District of Alabama","Q","H.W. Bush",102
"11/14/91","Irenas, Joseph E.","USDC: District of New Jersey","WQ","H.W. Bush",102
"11/14/91","Graham, Tony M.","USDC: Northern District of Oklahoma","Qsm/NQmin","H.W. Bush",102
"11/14/91","Stohr, Donald J.","USDC: Eastern District of Missouri","WQ","H.W. Bush",102
"11/14/91","Traxler, William B.","USDC: District of South Carolina","WQ","H.W. Bush",102
"11/19/91","Kelly, Paul J.","Tenth Circuit","WQ","H.W. Bush",102
"11/20/91","Bea, Carlos T.","USDC: Northern District of California","Qsm/NQmin","H.W. Bush",102
"11/20/91","Leonard, Timothy D.","USDC: Western District of Oklahoma","WQ","H.W. Bush",102
"11/20/91","Payne, Robert E.","USDC: Eastern District of Virginia","WQ","H.W. Bush",102
"11/20/91","Werlein, Ewing Jr.","USDC: Southern District of Texas","WQ","H.W. Bush",102
"","","","","H.W. Bush",102
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",102
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",102
"11/22/91","Brody, Anita B.","USDC: Eastern District of Pennsylvania","Qsm/NQmin","H.W. Bush",102
"11/26/91","Franklin, James B.","USDC: Middle District of Georgia","WQ","H.W. Bush",102
"11/26/91","Robreno, Eduardo C.","USDC: Eastern District of Pennsylvania","Qsm/WQmin","H.W. Bush",102
"11/26/91","Ungaro, Ursula M.","USDC: Southern District of Florida","Qsm/NQmin","H.W. Bush",102
"11/27/91","Sotomayor, Sonia","USDC: Southern District of New York","Qsm/WQmin","H.W. Bush",102
"11/27/91","Trager, David G.","USDC: Eastern District of New York","WQ","H.W. Bush",102
"","","","","H.W. Bush",102
"DATE","","COURT TO WHICH","","H.W. Bush",102
"NOMINATED","","NOMINATED","","H.W. Bush",102
"1/27/92","Carnes, Ed","Eleventh Circuit","Q","H.W. Bush",102
"1/27/92","Fitzwater, Sidney A.","Fifth Circuit","Qsm/WQmin","H.W. Bush",102
"1/27/92","Roberts, John G.","DC Circuit","Q","H.W. Bush",102
"1/27/92","Smietanka, John A.","Sixth Circuit","Qm/NQmin","H.W. Bush",102
"1/27/92","Williams, Karen J.","Fourth Circuit","Qsm/WQmin","H.W. Bush",102
"1/27/92","Carr, Kenneth R.","USDC: Western District of Texas","Qsm/NQmin","H.W. Bush",102
"1/27/92","Jackson, James W.","USDC: Northern District of Ohio","WQ","H.W. Bush",102
"1/27/92","Smith, Terral R.","USDC: Western District of Texas","WQsm/Qmin","H.W. Bush",102
"3/3/92","Schall, Alvin A.","Federal Circuit","WQsm/Qmin","H.W. Bush",102
"3/10/92","Moreno, Federico","Eleventh Circuit","Q","H.W. Bush",102
"3/10/92","Black, Susan H.","Eleventh Circuit","WQ","H.W. Bush",102
"3/20/92","Boudin, Michael","First Circuit","WQ","H.W. Bush",102
"3/20/92","Jacobs, Dennis G.","Second Circuit","Q","H.W. Bush",102
"3/20/92","Wilson, Justin P.","Sixth Circuit","Q","H.W. Bush",102
"3/20/92","Kyle, Richard H.","USDC: District of Minnesota","WQ","H.W. Bush",102
"3/20/92","Hansen, C. LeRoy","USDC: District of New Mexico","WQ","H.W. Bush",102
"3/20/92","Heyburn, John G.","USDC: Western District of Kentucky","Qsm/NQmin","H.W. Bush",102
"","","","","H.W. Bush",102
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",102
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",102
"3/20/92","Quist, Gordon J.","USDC: Western District of Michigan","WQ","H.W. Bush",102
"3/20/92","Shechtman, Paul L.","USDC: Southern District of New York","WQsm/Qmin","H.W. Bush",102
"3/20/92","Anderson, Percy","USDC: Central District of California","Qsm/WQmin","H.W. Bush",102
"3/20/92","Davis, Lawrence O.","USDC: Eastern District of Missouri","WQsm/Qmin","H.W. Bush",102
"3/20/92","Hanen, Andrew S.","USDC: Southern District of Texas","Q","H.W. Bush",102
"3/20/92","Kendall, Joe","USDC: Northern District of Texas","Q","H.W. Bush",102
"3/20/92","Lloyd, Russell T.","USDC: Southern District of Texas","Qsm/NQmin","H.W. Bush",102
"3/20/92","McLaughlin, Linda","USDC: Central District of California","WQsm/Qmin","H.W. Bush",102
"3/20/92","Rosenthal, Lee H.","USDC: Southern District of Texas","WQ","H.W. Bush",102
"3/20/92","Walter, John F.","USDC: Central District of California","WQ","H.W. Bush",102
"3/24/92","Voigts, Gene E.","USDC: Western District of Missouri","WQ","H.W. Bush",102
"3/26/92","Quintana, Maruel H.","USDC: Southern District of New York","Q","H.W. Bush",102
"3/31/92","Preska, Loretta A.","USDC: Southern District of New York","Q","H.W. Bush",102
"4/1/92","Banks, Charles A.","USDC: Eastern District of Arkansas","Q","H.W. Bush",102
"4/1/92","Covello, Alfred V.","USDC: District of Connecticut","WQ","H.W. Bush",102
"4/1/92","Jackson, Carol E.","USDC: Eastern District of Missouri","Q","H.W. Bush",102
"4/1/92","Keeley, Irene M.","USDC: Northern District of West Virginia","Q","H.W. Bush",102
"4/1/92","Simandle, Jerome B.","USDC: District of New Jersey","WQ","H.W. Bush",102
"4/2/92","Baird, Lourdes G.","USDC: Central District of California","WQ","H.W. Bush",102
"4/2/92","Hunter, Robert D.","USDC: Northern District of Alabama","Q","H.W. Bush",102
"4/2/92","Mahoney, Maureen E.","USDC: Eastern District of Virginia","Qsm/WQmin","H.W. Bush",102
"4/8/92","Kopf, Richard G.","USDC: District of Nebraska","WQ","H.W. Bush",102
"4/8/92","Mitchell, James S.","USDC: District of Nebraska","Q","H.W. Bush",102
"4/9/92","Gonzalez, Irma E.","USDC: Southern District of California","Q","H.W. Bush",102
"4/9/92","Stahl, Norman H.","First Circuit","WQ","H.W. Bush",102
"4/9/92","DiClerico, Joseph A. Jr.","USDC: District of New Hampshire","WQ","H.W. Bush",102
"4/9/92","Melloy, Michael J.","USDC: Northern District of Iowa","WQ","H.W. Bush",102
"","","","","H.W. Bush",102
"DATE","NAME OF","COURT TO WHICH","","H.W. Bush",102
"NOMINATED","NOMINEE","NOMINATED","","H.W. Bush",102
"4/9/92","Randa, Rudoloph T.","USDC: Eastern District of Wisconsin","Q","H.W. Bush",102
"4/28/92","Gorton, Nathaniel","USDC: District of Massachusetts","Q","H.W. Bush",102
"4/30/92","Leighton, Ronald B.","USDC: Western District of Washington","Q","H.W. Bush",102
"6/2/92","Quarles, William D.","USDC: District of Maryland","Q","H.W. Bush",102
"6/2/92","McIntyre, James A.","USDC: Southern District of California","WQ","H.W. Bush",102
"6/3/92","Davis, Leonard E.","USDC: Eastern District of Texas","Q","H.W. Bush",102
"6/3/92","Drushal, J. Douglas","USDC: Northern District of Ohio","Qsm/WQmin","H.W. Bush",102
"6/3/92","Hagy, C. Christopher","USDC: Northern District of Georgia","WQ","H.W. Bush",102
"6/3/92","Leonatti, Louis J.","USDC: Eastern District of Missouri","WQ","H.W. Bush",102
"6/19/92?","Finch, Raymond L.","USDC: District of the Virgin Islands","Q","H.W. Bush",102
"6/24/92","McMonagle, James J.","USDC: Northern District of Ohio","WQ","H.W. Bush",102
"6/24/92","Armentrout, Katharine J.","USDC: District of Maryland","Qm/NQmin","H.W. Bush",102
"7/2/92","Rovner, Ilana D.","Seventh Circuit","WQ","H.W. Bush",102
"7/2/92","Gilbert, John Phil","USDC: Southern District of Illinois","WQ","H.W. Bush",102
"7/2/92","Casey, Richard C.","USDC: Southern District of New York","Qsm/NQmin","H.W. Bush",102
"7/2/92","Hicks, Larry R.","USDC: District of Nevada","WQ","H.W. Bush",102
"7/2/92","Sedwick, J. W.","USDC: District of Alaska","WQ","H.W. Bush",102
"7/22/92","Unpingco, John S.","USDC: District of Guam","Q","H.W. Bush",102
"7/29/92","Campbell, R. Edgar","USDC: Middle District of Georgia","Q","H.W. Bush",102
"7/29/92","Seybert, Joanna","USDC: Eastern District of New York","Q","H.W. Bush",102
"7/28/92","Vratil, Kathryn H.","USDC: District of Kansas","Qsm/NQmin","H.W. Bush",102
"8/7/92","Kostelka, Robert","USDC: Western District of Louisiana","Qsm/NQmin","H.W. Bush",102
"9/9/92","Barbadoro, Paul J.","USDC: District of New Hampshire","WQ","H.W. Bush",102
"9/9/92","Dorr, Richard E.","USDC: Western District of Missouri","Qsm/NQmin","H.W. Bush",102
"9/9/92","McAuliffe, Steven J.","USDC: District of New Hampshire","WQ","H.W. Bush",102
"9/17/92","Payne, James H.","USDC: Eastern District of Oklahoma","WQ","H.W. Bush",102
"9/9/92","Prince, Walter B.","USDC: District of Massachusetts","WQ","H.W. Bush",102
"","","","","H.W. Bush",102
"DATE","NAME OF","COURT TO WHICH","ABA","H.W. Bush",102
"NOMINATED","NOMINEE","NOMINATED","RATING","H.W. Bush",102
"9/9/92","Lewis, Timothy K. (PA)","Third Circuit","Qsm/WQmin","H.W. Bush",102
"9/24/92","O’Toole, George A. Jr.","USDC: District of Massachusetts","WQ (1NV)","H.W. Bush",102
"10/2/92","Dimitrouleas, William P.","USDC: Southern District of Florida","WQsm/Qmin","H.W. Bush",102
"10/2/92","Saad, Henry W.","USDC: Eastern District of Michigan","WQ","H.W. Bush",102
"","","","","Clinton",103
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",103
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",103
"6/22/93","Ginsburg, Ruth Bader","Supreme Court","WQ","Clinton",103
"8/6/93","Leval, Pierre Nelson  (NY)","Second Circuit","WQ","Clinton",103
"8/6/93","Michael, M. Blane  (WV)","Fourth Circuit","WQ","Clinton",103
"8/6/93","Daughtrey, Martha Craig  (TN)","Sixth Circuit","WQ","Clinton",103
"8/6/93","Wilson, William R. Jr.","USDC: Eastern District of Arkansas","WQ","Clinton",103
"8/6/93","Coffman, Jennifer B.","USDC: Eastern District of Kentucky","WQ","Clinton",103
"8/6/93","Chasanow, Debra K.","USDC: District of Maryland","WQ","Clinton",103
"8/6/93","Messitte, Peter J.","USDC: District of Maryland","WQ","Clinton",103
"8/6/93","Williams, Alexander Jr.","USDC: District of Maryland","NQsm/Qmin","Clinton",103
"8/6/93","Shanahan, Thomas Michael","USDC: District of Nebraska","Qsm/WQmin","Clinton",103
"8/6/93","Vazquez, Martha A.","USDC: District of New Mexico","WQsm/Qmin","Clinton",103
"8/6/93","Trager, David G.","USDC: Eastern District of New York","WQ","Clinton",103
"8/6/93","Piersol, Lawrence Leroy","USDC: District of South Dakota","WQ","Clinton",103
"8/6/93","Brinkema, Leonie M.","USDC: Eastern District of Virginia","WQ","Clinton",103
"9/25/93","Barkett, Rosemary  (FL)","Eleventh Circuit","WQ","Clinton",103
"9/25/93","Jackson, Raymond A.","USDC: Eastern District of Virginia","WQm/Qmin","Clinton",103
"9/25/93","Seybert, Joanna","USDC: Eastern District of New York","Q","Clinton",103
"","","","","Clinton",103
"DATE","NAME OF","COURT TO WHICH","ABA","Clinton",103
"NOMINATED","NOMINEE","NOMINATED","RATING","Clinton",103
