"Judge#","Title","Judge","Duty.station","Born","Active","Chief","Senior","Appointed.by","circuit","name","gender","ActiveStartYear","ActiveEndYear","currActive","yrsActive","ChiefStartYear","ChiefEndYear","currChief","yrsChief","SeniorStartYear","SeniorEndYear","currSenior","yrsSenior","pres_start_year","yrOfPresidency"
"71","Circuit Judge","vacant","—","—","—","—","—","—","Second Circuit","vacant",NA,"","","N",0,"","","N",0,"","","N",0,"0",NA
"39","Senior Circuit Judge","Jon O. Newman","Hartford, CT","1932","1979–1997","1993–1997","1997–present","Carter","Second Circuit","Jon","male","1979","1997","N",18,"1993","1997","N",4,"1997","2018","Y",21,"1977",2
"40","Senior Circuit Judge","Amalya Lyle Kearse","New York, NY","1937","1979–2002","—","2002–present","Carter","Second Circuit","Amalya","female","1979","2002","N",23,"","","N",0,"2002","2018","Y",16,"1977",2
"43","Senior Circuit Judge","Ralph K. Winter Jr.","New Haven, CT","1935","1981–2000","1997–2000","2000–present","Reagan","Second Circuit","Ralph","male","1981","2000","N",19,"1997","2000","N",3,"2000","2018","Y",18,"1981",0
"48","Senior Circuit Judge","John M. Walker Jr.","New Haven, CT","1940","1989–2006","2000–2006","2006–present","G.H.W. Bush","Second Circuit","John","male","1989","2006","N",17,"2000","2006","N",6,"2006","2018","Y",12,"1989",0
"51","Senior Circuit Judge","Pierre N. Leval","New York, NY","1936","1993–2002","—","2002–present","Clinton","Second Circuit","Pierre","male","1993","2002","N",9,"","","N",0,"2002","2018","Y",16,"1993",0
"52","Senior Circuit Judge","Guido Calabresi","New Haven, CT","1932","1994–2009","—","2009–present","Clinton","Second Circuit","Guido","male","1994","2009","N",15,"","","N",0,"2009","2018","Y",9,"1993",1
"56","Senior Circuit Judge","Chester J. Straub","inactive[4]","1937","1998–2008","—","2008–present","Clinton","Second Circuit","Chester","male","1998","2008","N",10,"","","N",0,"2008","2018","Y",10,"1993",5
"57","Senior Circuit Judge","Robert D. Sack","New York, NY","1939","1998–2009","—","2009–present","Clinton","Second Circuit","Robert","male","1998","2009","N",11,"","","N",0,"2009","2018","Y",9,"1993",5
"60","Senior Circuit Judge","Barrington Daniels Parker Jr.","New York, NY","1944","2001–2009","—","2009–present","G.W. Bush","Second Circuit","Barrington","male","2001","2009","N",8,"","","N",0,"2009","2018","Y",9,"2001",0
"62","Senior Circuit Judge","Richard C. Wesley","Geneseo, NY","1949","2003–2016","—","2016–present","G.W. Bush","Second Circuit","Richard","male","2003","2016","N",13,"","","N",0,"2016","2018","Y",2,"2001",2
"65","Senior Circuit Judge","Gerard E. Lynch","New York, NY","1951","2009–2016","—","2016–present","Obama","Second Circuit","Gerard","male","2009","2016","N",7,"","","N",0,"2016","2018","Y",2,"2009",0
"56","Chief Judge","D. Brooks Smith","Duncansville, PA","1951","2002–present","2016–present","—","G.W. Bush","Third Circuit","Brooks","male","2002","2018","Y",16,"2016","2018","Y",2,"","","N",0,"2001",1
"50","Circuit Judge","Theodore McKee","Philadelphia, PA","1947","1994–present","2010–2016","—","Clinton","Third Circuit","Theodore","male","1994","2018","Y",24,"2010","2016","N",6,"","","N",0,"1993",1
"54","Circuit Judge","Thomas L. Ambro","Wilmington, DE","1949","2000–present","—","—","Clinton","Third Circuit","Thomas","male","2000","2018","Y",18,"","","N",0,"","","N",0,"1993",7
"60","Circuit Judge","Michael Chagares","Newark, NJ","1962","2006–present","—","—","G.W. Bush","Third Circuit","Michael","male","2006","2018","Y",12,"","","N",0,"","","N",0,"2001",5
"61","Circuit Judge","Kent A. Jordan","Wilmington, DE","1957","2006–present","—","—","G.W. Bush","Third Circuit","Kent","male","2006","2018","Y",12,"","","N",0,"","","N",0,"2001",5
"62","Circuit Judge","Thomas Hardiman","Pittsburgh, PA","1965","2007–present","—","—","G.W. Bush","Third Circuit","Thomas","male","2007","2018","Y",11,"","","N",0,"","","N",0,"2001",6
"63","Circuit Judge","Joseph A. Greenaway Jr.","Newark, NJ","1957","2010–present","—","—","Obama","Third Circuit","Joseph","male","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"64","Circuit Judge","Thomas I. Vanaskie","Scranton, PA","1953","2010–present","—","—","Obama","Third Circuit","Thomas","male","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"65","Circuit Judge","Patty Shwartz","Newark, NJ","1961","2013–present","—","—","Obama","Third Circuit","Patty","female","2013","2018","Y",5,"","","N",0,"","","N",0,"2009",4
"66","Circuit Judge","Cheryl Ann Krause","Philadelphia, PA","1968","2014–present","—","—","Obama","Third Circuit","Cheryl","female","2014","2018","Y",4,"","","N",0,"","","N",0,"2009",5
"67","Circuit Judge","L. Felipe Restrepo","Philadelphia, PA","1959","2016–present","—","—","Obama","Third Circuit","Felipe","male","2016","2018","Y",2,"","","N",0,"","","N",0,"2009",7
"68","Circuit Judge","Stephanos Bibas","Philadelphia, PA","1969","2017–present","—","—","Trump","Third Circuit","Stephanos","male","2017","2018","Y",1,"","","N",0,"","","N",0,"2017",0
"69","Circuit Judge","vacant","—","—","—","—","—","—","Third Circuit","vacant",NA,"","","N",0,"","","N",0,"","","N",0,"0",NA
"70","Circuit Judge","vacant","—","—","—","—","—","—","Third Circuit","vacant",NA,"","","N",0,"","","N",0,"","","N",0,"0",NA
"38","Senior Circuit Judge","Dolores Korman Sloviter","inactive","1932","1979–2013","1991–1998","2013–present","Carter","Third Circuit","Dolores","female","1979","2013","N",34,"1991","1998","N",7,"2013","2018","Y",5,"1977",2
"41","Senior Circuit Judge","Walter King Stapleton","Wilmington, DE","1934","1985–1999","—","1999–present","Reagan","Third Circuit","Walter","male","1985","1999","N",14,"","","N",0,"1999","2018","Y",19,"1981",4
"42","Senior Circuit Judge","Morton Ira Greenberg","Trenton, NJ","1933","1987–2000","—","2000–present","Reagan","Third Circuit","Morton","male","1987","2000","N",13,"","","N",0,"2000","2018","Y",18,"1981",6
"44","Senior Circuit Judge","Anthony Joseph Scirica","Philadelphia, PA","1940","1987–2013","2003–2010","2013–present","Reagan","Third Circuit","Anthony","male","1987","2013","N",26,"2003","2010","N",7,"2013","2018","Y",5,"1981",6
"45","Senior Circuit Judge","Robert E. Cowen","Trenton, NJ","1930","1987–1998","—","1998–present","Reagan","Third Circuit","Robert","male","1987","1998","N",11,"","","N",0,"1998","2018","Y",20,"1981",6
"46","Senior Circuit Judge","Richard Lowell Nygaard","Erie, PA","1940","1988–2005","—","2005–present","Reagan","Third Circuit","Richard","male","1988","2005","N",17,"","","N",0,"2005","2018","Y",13,"1981",7
"48","Senior Circuit Judge","Jane Richards Roth","Washington, DC","1935","1991–2006","—","2006–present","G.H.W. Bush","Third Circuit","Jane","female","1991","2006","N",15,"","","N",0,"2006","2018","Y",12,"1989",2
"52","Senior Circuit Judge","Marjorie O. Rendell","Philadelphia, PA","1947","1997–2015","—","2015–present","Clinton","Third Circuit","Marjorie","female","1997","2015","N",18,"","","N",0,"2015","2018","Y",3,"1993",4
"53","Senior Circuit Judge","Maryanne Trump Barry","inactive[4]","1937","1999–2011","—","2011–present","Clinton","Third Circuit","Maryanne","female","1999","2011","N",12,"","","N",0,"2011","2018","Y",7,"1993",6
"55","Senior Circuit Judge","Julio M. Fuentes","Newark, NJ","1946","2000–2016","—","2016–present","Clinton","Third Circuit","Julio","male","2000","2016","N",16,"","","N",0,"2016","2018","Y",2,"1993",7
"58","Senior Circuit Judge","D. Michael Fisher","Pittsburgh, PA","1944","2003–2017","—","2017–present","G.W. Bush","Third Circuit","Michael","male","2003","2017","N",14,"","","N",0,"2017","2018","Y",1,"2001",2
"40","Chief Judge","Roger Gregory","Richmond, VA","1953","2000–present","2016–present","—","Clinton /G.W. Bush[Note 1]","Fourth Circuit","Roger","male","2000","2018","Y",18,"2016","2018","Y",2,"","","N",0,"1993",7
"29","Circuit Judge","J. Harvie Wilkinson III","Charlottesville, VA","1944","1984–present","1996–2003","—","Reagan","Fourth Circuit","Harvie","male","1984","2018","Y",34,"1996","2003","N",7,"","","N",0,"1981",3
"32","Circuit Judge","Paul V. Niemeyer","Baltimore, MD","1941","1990–present","—","—","G.H.W. Bush","Fourth Circuit","Paul","male","1990","2018","Y",28,"","","N",0,"","","N",0,"1989",1
"37","Circuit Judge","Diana Gribbon Motz","Baltimore, MD","1943","1994–present","—","—","Clinton","Fourth Circuit","Diana","female","1994","2018","Y",24,"","","N",0,"","","N",0,"1993",1
"38","Circuit Judge","William Byrd Traxler Jr.","Greenville, SC","1948","1998–present","2009–2016","—","Clinton","Fourth Circuit","William","male","1998","2018","Y",20,"2009","2016","N",7,"","","N",0,"1993",5
"39","Circuit Judge","Robert Bruce King","Charleston, WV","1940","1998–present","—","—","Clinton","Fourth Circuit","Robert","male","1998","2018","Y",20,"","","N",0,"","","N",0,"1993",5
"42","Circuit Judge","Allyson Kay Duncan","Raleigh, NC","1951","2003–present","—","—","G.W. Bush","Fourth Circuit","Allyson","female","2003","2018","Y",15,"","","N",0,"","","N",0,"2001",2
"43","Circuit Judge","G. Steven Agee","Salem, VA","1952","2008–present","—","—","G.W. Bush","Fourth Circuit","Steven","male","2008","2018","Y",10,"","","N",0,"","","N",0,"2001",7
"45","Circuit Judge","Barbara Milano Keenan","Alexandria, VA","1950","2010–present","—","—","Obama","Fourth Circuit","Barbara","female","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"46","Circuit Judge","James A. Wynn Jr.","Raleigh, NC","1954","2010–present","—","—","Obama","Fourth Circuit","James","male","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"47","Circuit Judge","Albert Diaz","Charlotte, NC","1960","2010–present","—","—","Obama","Fourth Circuit","Albert","male","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"48","Circuit Judge","Henry Franklin Floyd","Spartanburg, SC","1947","2011–present","—","—","Obama","Fourth Circuit","Henry","male","2011","2018","Y",7,"","","N",0,"","","N",0,"2009",2
"49","Circuit Judge","Stephanie Thacker","Charleston, WV","1965","2012–present","—","—","Obama","Fourth Circuit","Stephanie","female","2012","2018","Y",6,"","","N",0,"","","N",0,"2009",3
"50","Circuit Judge","Pamela Harris","Bethesda, MD","1962","2014–present","—","—","Obama","Fourth Circuit","Pamela","female","2014","2018","Y",4,"","","N",0,"","","N",0,"2009",5
"51","Circuit Judge","vacant","—","—","—","—","—","—","Fourth Circuit","vacant",NA,"","","N",0,"","","N",0,"","","N",0,"0",NA
"28","Senior Circuit Judge","Robert F. Chapman","inactive","1926","1981–1991","—","1991–present","Reagan","Fourth Circuit","Robert","male","1981","1991","N",10,"","","N",0,"1991","2018","Y",27,"1981",0
"33","Senior Circuit Judge","Clyde H. Hamilton","Columbia, SC","1934","1991–1999","—","1999–present","G.H.W. Bush","Fourth Circuit","Clyde","male","1991","1999","N",8,"","","N",0,"1999","2018","Y",19,"1989",2
"41","Senior Circuit Judge","Dennis Shedd","Columbia, SC","1953","2002–2018","—","2018–present","G.W. Bush","Fourth Circuit","Dennis","male","2002","2018","N",16,"","","N",0,"2018","2018","Y",0,"2001",1
"71","Chief Judge","Carl E. Stewart","Shreveport, LA","1950","1994–present","2012–present","—","Clinton","Fifth Circuit","Carl","male","1994","2018","Y",24,"2012","2018","Y",6,"","","N",0,"1993",1
"63","Circuit Judge","Edith H. Jones","Houston, TX","1949","1985–present","2006–2012","—","Reagan","Fifth Circuit","Edith","female","1985","2018","Y",33,"2006","2012","N",6,"","","N",0,"1981",4
"64","Circuit Judge","Jerry Edwin Smith","Houston, TX","1946","1987–present","—","—","Reagan","Fifth Circuit","Jerry","male","1987","2018","Y",31,"","","N",0,"","","N",0,"1981",6
"73","Circuit Judge","James L. Dennis","New Orleans, LA","1936","1995–present","—","—","Clinton","Fifth Circuit","James","male","1995","2018","Y",23,"","","N",0,"","","N",0,"1993",2
"74","Circuit Judge","Edith Brown Clement","New Orleans, LA","1948","2001–present","—","—","G.W. Bush","Fifth Circuit","Edith","female","2001","2018","Y",17,"","","N",0,"","","N",0,"2001",0
"75","Circuit Judge","Edward C. Prado","San Antonio, TX","1947","2003–present","—","—","G.W. Bush","Fifth Circuit","Edward","male","2003","2018","Y",15,"","","N",0,"","","N",0,"2001",2
"77","Circuit Judge","Priscilla Owen","Austin, TX","1954","2005–present","—","—","G.W. Bush","Fifth Circuit","Priscilla","female","2005","2018","Y",13,"","","N",0,"","","N",0,"2001",4
"78","Circuit Judge","Jennifer Walker Elrod","Houston, TX","1966","2007–present","—","—","G.W. Bush","Fifth Circuit","Jennifer","female","2007","2018","Y",11,"","","N",0,"","","N",0,"2001",6
"79","Circuit Judge","Leslie H. Southwick","Jackson, MS","1950","2007–present","—","—","G.W. Bush","Fifth Circuit","Leslie","female","2007","2018","Y",11,"","","N",0,"","","N",0,"2001",6
"80","Circuit Judge","Catharina Haynes","Dallas, TX","1963","2008–present","—","—","G.W. Bush","Fifth Circuit","Catharina","female","2008","2018","Y",10,"","","N",0,"","","N",0,"2001",7
"81","Circuit Judge","James E. Graves Jr.","Jackson, MS","1953","2011–present","—","—","Obama","Fifth Circuit","James","male","2011","2018","Y",7,"","","N",0,"","","N",0,"2009",2
"82","Circuit Judge","Stephen A. Higginson","New Orleans, LA","1961","2011–present","—","—","Obama","Fifth Circuit","Stephen","male","2011","2018","Y",7,"","","N",0,"","","N",0,"2009",2
"83","Circuit Judge","Gregg Costa","Houston, TX","1972","2014–present","—","—","Obama","Fifth Circuit","Gregg","male","2014","2018","Y",4,"","","N",0,"","","N",0,"2009",5
"84","Circuit Judge","Don Willett","Austin, TX","1966","2018–present","—","—","Trump","Fifth Circuit","Don","male","2018","2018","Y",0,"","","N",0,"","","N",0,"2017",1
"85","Circuit Judge","James C. Ho","Dallas, TX","1973","2018–present","—","—","Trump","Fifth Circuit","James","male","2018","2018","Y",0,"","","N",0,"","","N",0,"2017",1
"86","Circuit Judge","vacant","—","—","—","—","—","—","Fifth Circuit","vacant",NA,"","","N",0,"","","N",0,"","","N",0,"0",NA
"87","Circuit Judge","vacant","—","—","—","—","—","—","Fifth Circuit","vacant",NA,"","","N",0,"","","N",0,"","","N",0,"0",NA
"51","Senior Circuit Judge","Carolyn Dineen King","Houston, TX","1938","1979–2013","1999–2006","2013–present","Carter","Fifth Circuit","Carolyn","female","1979","2013","N",34,"1999","2006","N",7,"2013","2018","Y",5,"1977",2
"53","Senior Circuit Judge","Thomas Morrow Reavley","Houston, TX","1921","1979–1990","—","1990–present","Carter","Fifth Circuit","Thomas","male","1979","1990","N",11,"","","N",0,"1990","2018","Y",28,"1977",2
"59","Senior Circuit Judge","Patrick Higginbotham","Austin, TX","1938","1982–2006","—","2006–present","Reagan","Fifth Circuit","Patrick","male","1982","2006","N",24,"","","N",0,"2006","2018","Y",12,"1981",1
"60","Senior Circuit Judge","E. Grady Jolly","Jackson, MS","1937","1982–2017","—","2017–present","Reagan","Fifth Circuit","Grady","male","1982","2017","N",35,"","","N",0,"2017","2018","Y",1,"1981",1
"61","Senior Circuit Judge","W. Eugene Davis","New Orleans, LA","1936","1983–2016","—","2016–present","Reagan","Fifth Circuit","Eugene","male","1983","2016","N",33,"","","N",0,"2016","2018","Y",2,"1981",2
"65","Senior Circuit Judge","John Malcolm Duhé Jr.","inactive","1933","1988–1999","—","1999–present","Reagan","Fifth Circuit","John","male","1988","1999","N",11,"","","N",0,"1999","2018","Y",19,"1981",7
"66","Senior Circuit Judge","Rhesa Hawkins Barksdale","Jackson, MS","1944","1990–2009","—","2009–present","G.H.W. Bush","Fifth Circuit","Rhesa","female","1990","2009","N",19,"","","N",0,"2009","2018","Y",9,"1989",1
"67","Senior Circuit Judge","Jacques L. Wiener Jr.","New Orleans, LA","1934","1990–2010","—","2010–present","G.H.W. Bush","Fifth Circuit","Jacques","male","1990","2010","N",20,"","","N",0,"2010","2018","Y",8,"1989",1
"70","Senior Circuit Judge","Fortunato Benavides","Austin, TX","1947","1994–2012","—","2012–present","Clinton","Fifth Circuit","Fortunato","male","1994","2012","N",18,"","","N",0,"2012","2018","Y",6,"1993",1
"56","Chief Judge","R. Guy Cole Jr.","Columbus, OH","1951","1995–present","2014–present","—","Clinton","Sixth Circuit","Guy","male","1995","2018","Y",23,"2014","2018","Y",4,"","","N",0,"1993",2
"53","Circuit Judge","Alice M. Batchelder","Medina, OH","1944","1991–present","2009–2014","—","G.H.W. Bush","Sixth Circuit","Alice","female","1991","2018","Y",27,"2009","2014","N",5,"","","N",0,"1989",2
"55","Circuit Judge","Karen Nelson Moore","Cleveland, OH","1948","1995–present","—","—","Clinton","Sixth Circuit","Karen","female","1995","2018","Y",23,"","","N",0,"","","N",0,"1993",2
"57","Circuit Judge","Eric L. Clay","Detroit, MI","1948","1997–present","—","—","Clinton","Sixth Circuit","Eric","male","1997","2018","Y",21,"","","N",0,"","","N",0,"1993",4
"59","Circuit Judge","Julia Smith Gibbons","Memphis, TN","1950","2002–present","—","—","G.W. Bush","Sixth Circuit","Julia","female","2002","2018","Y",16,"","","N",0,"","","N",0,"2001",1
"60","Circuit Judge","John M. Rogers","Lexington, KY","1948","2002–present","—","—","G.W. Bush","Sixth Circuit","John","male","2002","2018","Y",16,"","","N",0,"","","N",0,"2001",1
"61","Circuit Judge","Jeffrey Sutton","Columbus, OH","1960","2003–present","—","—","G.W. Bush","Sixth Circuit","Jeffrey","male","2003","2018","Y",15,"","","N",0,"","","N",0,"2001",2
"62","Circuit Judge","Deborah L. Cook","Akron, OH","1952","2003–present","—","—","G.W. Bush","Sixth Circuit","Deborah","female","2003","2018","Y",15,"","","N",0,"","","N",0,"2001",2
"64","Circuit Judge","Richard Allen Griffin","Traverse City, MI","1952","2005–present","—","—","G.W. Bush","Sixth Circuit","Richard","male","2005","2018","Y",13,"","","N",0,"","","N",0,"2001",4
"66","Circuit Judge","Raymond M. Kethledge","Ann Arbor, MI","1966","2008–present","—","—","G.W. Bush","Sixth Circuit","Raymond","male","2008","2018","Y",10,"","","N",0,"","","N",0,"2001",7
"67","Circuit Judge","Helene N. White","Detroit, MI","1954","2008–present","—","—","G.W. Bush","Sixth Circuit","Helene","female","2008","2018","Y",10,"","","N",0,"","","N",0,"2001",7
"68","Circuit Judge","Jane Branstetter Stranch","Nashville, TN","1953","2010–present","—","—","Obama","Sixth Circuit","Jane","female","2010","2018","Y",8,"","","N",0,"","","N",0,"2009",1
"69","Circuit Judge","Bernice B. Donald","Memphis, TN","1951","2011–present","—","—","Obama","Sixth Circuit","Bernice","female","2011","2018","Y",7,"","","N",0,"","","N",0,"2009",2
"70","Circuit Judge","Amul Thapar","Covington, KY","1969","2017–present","—","—","Trump","Sixth Circuit","Amul","male","2017","2018","Y",1,"","","N",0,"","","N",0,"2017",0
"71","Circuit Judge","John K. Bush","Louisville, KY","1964","2017–present","—","—","Trump","Sixth Circuit","John","male","2017","2018","Y",1,"","","N",0,"","","N",0,"2017",0
"72","Circuit Judge","Joan Larsen","Ann Arbor, MI","1968","2017–present","—","—","Trump","Sixth Circuit","Joan","female","2017","2018","Y",1,"","","N",0,"","","N",0,"2017",0
"36","Senior Circuit Judge","Damon Keith","Detroit, MI","1922","1977–1995","—","1995–present","Carter","Sixth Circuit","Damon","male","1977","1995","N",18,"","","N",0,"1995","2018","Y",23,"1977",0
"37","Senior Circuit Judge","Gilbert S. Merritt Jr.","Nashville, TN","1936","1977–2001","1989–1996","2001–present","Carter","Sixth Circuit","Gilbert","male","1977","2001","N",24,"1989","1996","N",7,"2001","2018","Y",17,"1977",0
"44","Senior Circuit Judge","Harry W. Wellford","inactive","1924","1982–1991","—","1991–present","Reagan","Sixth Circuit","Harry","male","1982","1991","N",9,"","","N",0,"1991","2018","Y",27,"1981",1
"46","Senior Circuit Judge","Ralph B. Guy Jr.","Ann Arbor, MI","1929","1985–1994","—","1994–present","Reagan","Sixth Circuit","Ralph","male","1985","1994","N",9,"","","N",0,"1994","2018","Y",24,"1981",4
"48","Senior Circuit Judge","James L. Ryan","inactive","1932","1985–2000","—","2000–present","Reagan","Sixth Circuit","James","male","1985","2000","N",15,"","","N",0,"2000","2018","Y",18,"1981",4
"49","Senior Circuit Judge","Danny Julian Boggs","Louisville, KY","1944","1986–2017","2003–2009","2017–present","Reagan","Sixth Circuit","Danny","male","1986","2017","N",31,"2003","2009","N",6,"2017","2018","Y",1,"1981",5
"50","Senior Circuit Judge","Alan Eugene Norris","Columbus, OH","1935","1986–2001","—","2001–present","Reagan","Sixth Circuit","Alan","male","1986","2001","N",15,"","","N",0,"2001","2018","Y",17,"1981",5
"51","Senior Circuit Judge","Richard Fred Suhrheinrich","Lansing, MI","1936","1990–2001","—","2001–present","G.H.W. Bush","Sixth Circuit","Richard","male","1990","2001","N",11,"","","N",0,"2001","2018","Y",17,"1989",1
"52","Senior Circuit Judge","Eugene Edward Siler Jr.","London, KY","1936","1991–2001","—","2001–present","G.H.W. Bush","Sixth Circuit","Eugene","male","1991","2001","N",10,"","","N",0,"2001","2018","Y",17,"1989",2
"54","Senior Circuit Judge","Martha Craig Daughtrey","Nashville, TN","1942","1993–2008","—","2009–present","Clinton","Sixth Circuit","Martha","female","1993","2008","N",15,"","","N",0,"2009","2018","Y",9,"1993",0
"58","Senior Circuit Judge","Ronald Lee Gilman","Memphis, TN","1942","1997–2010","—","2010–present","Clinton","Sixth Circuit","Ronald","male","1997","2010","N",13,"","","N",0,"2010","2018","Y",8,"1993",4
"63","Senior Circuit Judge","David McKeague","Lansing, MI","1946","2005–2017","—","2017–present","G.W. Bush","Sixth Circuit","David","male","2005","2017","N",12,"","","N",0,"2017","2018","Y",1,"2001",4
"49","Chief Judge","Diane Pamela Wood","Chicago, IL","1950","1995–present","2013–present","—","Clinton","Seventh Circuit","Diane","female","1995","2018","Y",23,"2013","2018","Y",5,"","","N",0,"1993",2
"43","Circuit Judge","Joel Martin Flaum","Chicago, IL","1936","1983–present","2000–2006","—","Reagan","Seventh Circuit","Joel","male","1983","2018","Y",35,"2000","2006","N",6,"","","N",0,"1981",2
"44","Circuit Judge","Frank H. Easterbrook","Chicago, IL","1948","1985–present","2006–2013","—","Reagan","Seventh Circuit","Frank","male","1985","2018","Y",33,"2006","2013","N",7,"","","N",0,"1981",4
"47","Circuit Judge","Michael Stephen Kanne","Lafayette, IN","1938","1987–present","—","—","Reagan","Seventh Circuit","Michael","male","1987","2018","Y",31,"","","N",0,"","","N",0,"1981",6
"48","Circuit Judge","Ilana Rovner","Chicago, IL","1938","1992–present","—","—","G.H.W. Bush","Seventh Circuit","Ilana","female","1992","2018","Y",26,"","","N",0,"","","N",0,"1989",3
"52","Circuit Judge","Diane S. Sykes","Milwaukee, WI","1957","2004–present","—","—","G.W. Bush","Seventh Circuit","Diane","female","2004","2018","Y",14,"","","N",0,"","","N",0,"2001",3
"54","Circuit Judge","David F. Hamilton","Bloomington, IN","1957","2009–present","—","—","Obama","Seventh Circuit","David","male","2009","2018","Y",9,"","","N",0,"","","N",0,"2009",0
"55","Circuit Judge","Amy Coney Barrett","South Bend, IN","1972","2017–present","—","—","Trump","Seventh Circuit","Amy","female","2017","2018","Y",1,"","","N",0,"","","N",0,"2017",0
"56","Circuit Judge","vacant","—","—","—","—","—","—","Seventh Circuit","vacant",NA,"","","N",0,"","","N",0,"","","N",0,"0",NA
